param,dbcv,n_clusters,noise_ratio,duration
50,0.36301142876639336,219,0.3434745475933416,0.056942395369211835
100,0.3086401906094997,106,0.4117988301078041,0.05949451526006063
150,0.29810289752613855,61,0.44094944969946986,0.05780064662297567
200,0.3341212859871074,47,0.487648452229402,0.05842326879501343
250,0.2221676531901584,34,0.36497091383727864,0.07736827929814656
300,0.22631821493169244,30,0.38548431280919154,0.1286153515179952
350,0.15931767290256216,26,0.3067985883945405,0.1429829994837443
400,0.17131185788136252,18,0.3598788210838423,0.13353497982025148
450,0.14823303833541798,16,0.3496301787066729,0.14178367058436075
500,0.1775828607984597,13,0.37326973588797396,0.15278824170430502
550,0.15447964869407904,12,0.38922281128639796,0.14265698591868084
600,0.14099093066208562,11,0.40722239231674107,0.1520843982696533
650,0.07267226318756143,11,0.4039834345843338,0.14678233464558918
700,0.1335943036105292,10,0.4180511465265804,0.15432656208674114
Average,0.2078960176487891,,,1.6055846293767293
Best,0.36301142876639336,219,,
