param,dbcv,n_clusters,noise_ratio,duration
50,0.4173240090761625,276,0.23135182171229676,0.17318649689356486
100,0.3843139019197384,137,0.29951496205101763,0.17181065479914348
150,0.3702820626275745,92,0.3317756256344973,0.17878690958023072
200,0.3667526941942036,66,0.35678489130960245,0.1868576963742574
250,0.34746992794467774,50,0.3454404821373898,0.17274167140324911
300,0.3112841258087642,41,0.38454968818988994,0.17205705245335898
350,0.3213576604056752,35,0.4155534428025847,0.17363754113515217
400,0.2908708485116384,28,0.4509886072481751,0.18742835521697998
450,0.28368983894264826,26,0.46452455001047427,0.17115135987599692
500,0.268715423033679,24,0.4795913434423192,0.17213802337646483
550,0.2604223593615049,22,0.4961567591085615,0.17260939677556356
600,0.2604223593615049,22,0.4961567591085615,0.18685200214385986
650,0.258491313619618,21,0.5061475740045442,0.18136703968048096
700,0.258491313619618,21,0.5061475740045442,0.17462892134984334
750,0.2836570219144366,19,0.5292070193531753,0.17324517567952474
800,0.24693712676604798,16,0.5664792046022206,0.1787374218304952
850,0.2333044986983038,15,0.5801118326699647,0.1911377708117167
900,0.2333044986983038,15,0.5801118326699647,0.17655381361643474
950,0.21861218510307298,14,0.5952430829721063,0.17266808748245238
1000,0.26682778320383105,13,0.5858162656912194,0.172881019115448
1050,0.2505524234539237,12,0.6020916254411267,0.18869904279708863
1100,0.2505524234539237,12,0.6020916254411267,0.1745054006576538
1150,0.2505524234539237,12,0.6020916254411267,0.17169982194900513
1200,0.23285354495281557,11,0.6206552040865656,0.17297134002049763
1250,0.23285354495281557,11,0.6206552040865656,0.1866484522819519
1300,0.21251740237421846,10,0.6409913466651627,0.17874746719996135
Average,0.281246642902024,,,4.613747934500376
Best,0.4173240090761625,276,,
