param,dbcv,n_clusters,noise_ratio,duration
50,0.2947324861973293,1484,0.32575598889498447,0.5953613758087158
250,0.21113591001877385,272,0.49831596096620284,0.6057378252347311
450,0.17794797679148328,109,0.5855269063887087,0.41015650033950807
650,0.17228895399606275,64,0.5721776137516,0.6084487597147624
850,0.18526934974310563,52,0.5850647515502136,0.46780717372894287
1050,0.17143682558347045,42,0.6103436237594135,0.4036242763201396
1250,0.24333866626641973,36,0.610466643392682,0.3905367016792297
1450,0.24081267779045787,30,0.6324173357937259,0.40314333041508993
1650,0.1964385081179735,21,0.6260967865276877,0.4077086210250854
1850,0.19121357561652225,20,0.6316526191544893,0.5965765635172526
2050,0.18192911403018983,19,0.6222333050720662,0.5301031510035197
2250,0.16841275235598396,17,0.6370289096138181,0.5702636480331421
2450,0.16589264572646173,15,0.6187289079513906,0.4030823349952698
2650,0.2734235242479434,14,0.6275032001728924,0.40032891829808553
2850,0.2649533390082967,13,0.6369391385300817,0.4030298431714376
3050,0.16006942715054429,11,0.6397552906754442,0.38704184293746946
3250,0.15067776356460563,10,0.6502684820374711,0.5946411252021789
Average,0.20293961742386027,,,8.177591991424562
Best,0.2947324861973293,1484,,
