param,dbcv,n_clusters,noise_ratio,duration
50,0.48259240794968905,1404,0.1978853922497631,0.6164543827374777
250,0.4066902716266114,356,0.29620800292587235,0.6142084042231242
450,0.30918676733248773,168,0.3682443103419613,0.5898813168207805
650,0.2761030441926067,120,0.3922630625238974,0.6109926422437032
850,0.29214067637686114,89,0.42529549648396586,0.602974001566569
1050,0.2883166030304666,71,0.4534669925024521,0.599500056107839
1250,0.30717972539709665,54,0.47449670008145894,0.6112408995628357
1450,0.2798638689049135,46,0.48633318371486045,0.5880847334861755
1650,0.30050835109999596,42,0.49035625820823564,0.6142792661984762
1850,0.3012249422246353,38,0.48884344920452844,0.6080499688784281
2050,0.29281248461647663,35,0.4947882898608548,0.5920166333516439
2250,0.24982875416936204,31,0.5030671786943295,0.6115477363268534
2450,0.2326213475386315,29,0.5090552424650474,0.5963466008504231
2650,0.1986691478476233,25,0.519990690406131,0.6006698727607727
2850,0.18952893056709558,24,0.5293102588399581,0.6109902461369833
3050,0.18952893056709558,24,0.5293102588399581,0.5891160726547241
3250,0.17178172506554154,22,0.5500872774425216,0.6120354930559794
3450,0.14436129225506267,21,0.5407012119096305,0.6042980233828227
3650,0.11253210413671914,18,0.5759380247036723,0.5947178641955058
3850,0.1005943825120518,16,0.600541951357372,0.6116251985232035
4050,0.09871327249615738,15,0.5974664605256595,0.589409605662028
4250,0.09871327249615738,15,0.5974664605256595,0.6112717827161153
4450,0.09871327249615738,15,0.5974664605256595,0.608276363213857
4650,0.09871327249615738,15,0.5974664605256595,0.5887237707773845
5050,0.04380938126878316,8,0.09024653799477998,0.6144758184750875
Average,0.2225891291465775,,,15.091186753908794
Best,0.48259240794968905,1404,,
