param,dbcv,n_clusters,noise_ratio,duration
50,0.11785974174535638,121,0.18979325458852345,0.059421861171722413
100,0.09101329028169512,63,0.17830381745814333,0.04220706224441528
150,0.11168509979537243,44,0.18979325458852345,0.039651302496592204
200,0.12932946849996815,35,0.18900365792738932,0.03799152374267578
250,0.10346589804155126,27,0.19781813494045797,0.03755675156911214
300,0.11418404952090597,25,0.20097652158499443,0.054696877797444664
350,0.15622450621297557,22,0.20581078685724416,0.04457576274871826
400,0.14636343694277587,20,0.2180898206487584,0.04019096295038859
450,0.1641841695284626,16,0.2214738063393332,0.0393882950146993
500,0.1510968618479415,14,0.2369273409929581,0.04014919996261597
550,0.14356373910290157,13,0.24575793222360087,0.047845069567362467
600,0.13396063303918918,12,0.2395056158048246,0.052920444806416826
650,0.13396063303918918,11,0.2492224890020465,0.04017374515533447
700,0.12378309110941131,10,0.26042187021609164,0.03745317856470744
750,0.11336374301380456,9,0.27220136326280675,0.03751524289449056
800,0.14609701359462315,8,0.27046102776479686,0.039882143338521324
850,0.14609701359462315,8,0.27046102776479686,0.055945054690043135
900,0.13412622075585406,7,0.2844320544015985,0.04146821101506551
950,0.13412622075585406,7,0.2844320544015985,0.037853920459747316
1000,0.13412622075585406,7,0.2844320544015985,0.03779763380686442
1050,0.11932504869699838,6,0.30069129993393173,0.03773835102717082
1100,0.11932504869699838,6,0.30069129993393173,0.08796472946802775
1150,0.11932504869699838,6,0.30069129993393173,0.04090764919916789
1200,0.11932504869699838,6,0.30069129993393173,0.037953746318817136
1250,0.11932504869699838,6,0.30069129993393173,0.03839240074157715
1300,0.11932504869699838,6,0.30069129993393173,0.037588095664978026
1350,0.11932504869699838,6,0.30069129993393173,0.05122858285903931
1400,0.09932174668319603,5,0.32260663583479704,0.0479202667872111
Average,0.1272574335264462,,,1.2443780660629276
Best,0.1641841695284626,16,,
