param,dbcv,n_clusters,noise_ratio,duration
50,0.3212903664597347,1945,0.18937376356956429,1.9983720739682516
250,0.26682073026642034,360,0.29250411450800456,1.969285742441813
450,0.2478920218885241,166,0.3396139843399332,1.9992223143577577
650,0.25921957106165566,115,0.35842933852010705,1.9766659498214723
850,0.2822340636405591,82,0.37365717420577527,1.9862981915473938
1050,0.29026128190066264,63,0.395225508287201,1.996853240331014
1250,0.27315701001389864,49,0.38417701527770853,1.9701499978701273
1450,0.2684371808584227,42,0.40406297275281366,1.9985140919685365
1650,0.28632219558655103,39,0.4152012368460426,1.9924211343129477
1850,0.2580046266383833,37,0.4247302711419214,1.9698850472768148
2050,0.2679830118670286,36,0.4309377753395508,1.9949800888697307
2250,0.14037947518980828,29,0.39082340032916063,1.97250900665919
2450,0.11086164382354448,30,0.34457466793011154,1.9955183347066243
2650,0.1251106979232869,26,0.3577111698502153,2.000869790712992
2850,0.12982045812373463,21,0.36116569414659283,1.969285241762797
3050,0.11547688402754082,21,0.36136518544378504,1.993196427822113
3250,0.09712247748446756,19,0.3827440027928782,1.9886788447697958
3450,0.0832041092111013,15,0.2602962445763304,1.9796902100245157
3650,0.06954884723404117,13,0.19603344804082923,2.0025266647338866
3850,0.06954915055020744,13,0.1941382807175037,1.9719048817952474
4050,0.06981713354285445,13,0.19422472694628698,2.0036053538322447
4250,0.09728717519247326,11,0.20852492810001164,1.990004332860311
4450,0.08608733428471933,10,0.22436121224211594,2.00061981678009
Average,0.1832994542073748,,,45.721056779225655
Best,0.3212903664597347,1945,,
