param,dbcv,n_clusters,noise_ratio,duration
50,0.49525513910701047,1583,0.15509450900204477,0.7843408187230428
250,0.24721540325716737,313,0.34342426811630344,0.7533233801523844
450,0.2001418964711973,139,0.4061144082589397,0.7795027732849121
650,0.16117021415084082,92,0.4419031469752132,0.7660884976387023
850,0.1361600469531686,64,0.45047129818961645,0.7615618745485941
1050,0.14345991752350878,49,0.4532276029458215,0.7789949496587117
1250,0.10690498246615403,36,0.4041394444167373,0.760807204246521
1450,0.1948385688845206,30,0.40917327481588617,0.762532643477122
1650,0.1725739575914166,27,0.40754409588881685,0.7785327474276225
1850,0.1725739575914166,27,0.40754409588881685,0.7556976437568664
2050,0.16847879712018757,26,0.41428690173391186,0.7617239713668823
2250,0.22445680288062225,24,0.41032699948464746,0.774739929040273
2450,0.2439483670455482,22,0.41542400212790714,0.7551062862078349
2650,0.2439483670455482,22,0.41542400212790714,0.7646158536275228
2850,0.29104309612614765,19,0.40954565857064484,0.7751952807108561
3050,0.24064378846865042,16,0.4285339052083853,0.7543080687522888
3250,0.24064378846865042,16,0.4285339052083853,0.7685922265052796
3450,0.23132793549894043,15,0.43974531611058465,0.7776205539703369
3650,0.23132793549894043,15,0.43974531611058465,0.7508627454439799
3850,0.23613921229913964,14,0.4523531660931292,0.7695994297663371
4050,0.22433180315571521,13,0.4652336541818363,0.7798151691754659
4250,0.22433180315571521,13,0.4652336541818363,0.7529385328292847
4450,0.22433180315571521,13,0.4652336541818363,0.7806093215942382
4650,0.22433180315571521,13,0.4652336541818363,0.7761330326398214
5050,0.22433180315571521,13,0.4652336541818363,0.7506611466407775
5450,0.2830656486834996,11,0.47559390221601583,0.7745124061902364
5850,0.2830656486834996,11,0.47559390221601583,0.7795108159383138
6250,0.32763589887792205,10,0.4564826359450069,0.7508443156878154
Average,0.2284885138025812,,,21.47877161900202
Best,0.49525513910701047,1583,,
