param,dbcv,n_clusters,noise_ratio,duration
50,0.05491808687550319,454,0.1447774840822569,0.3615364114443461
250,0.04072742205326465,140,0.1861386797000981,0.3691744049390157
450,0.0465336441709075,100,0.1922830116536166,0.35847930908203124
650,0.05607287128070445,72,0.20351769654048843,0.3560357491175334
850,0.06611392597174479,61,0.21210912173956412,0.3588138500849406
1050,0.06803139217963336,53,0.21507156750286768,0.34942035675048827
1250,0.06803139217963335,47,0.21507156750286768,0.3509071548779806
1450,0.06611392597174479,42,0.21804066297607766,0.34476006825764977
1650,0.0284088037218592,36,0.21826010340298904,0.35108859539031984
1850,0.02281321621724083,32,0.2123451864412415,0.3466312487920125
2050,0.02281321621724083,29,0.2123451864412415,0.3472402056058248
2250,0.0,24,0.20747427393479959,0.34957115650177
2450,0.0,22,0.20632719897594468,0.3398959477742513
2650,0.04643297160940761,21,0.20317856133526174,0.35119617780049645
2850,0.04643297160940761,19,0.20317856133526174,0.3380382895469666
3050,0.04643297160940761,19,0.20317856133526174,0.3607492725054423
3250,0.04643297160940761,17,0.20317856133526174,0.33118041753768923
3450,0.04643297160940761,17,0.20317856133526174,0.3543691436449687
3650,0.04643297160940761,17,0.20317856133526174,0.3273880441983541
3850,0.04643297160940761,17,0.20317856133526174,0.35462417602539065
4250,0.04643297160940761,17,0.20317856133526174,0.3277190446853638
4650,0.08434781302018868,15,0.2028660249696607,0.3552915811538696
5050,0.08434781302018868,15,0.2028660249696607,0.3313583175341288
5450,0.08434781302018868,15,0.2028660249696607,0.35465428431828816
5850,0.08434781302018868,15,0.2028660249696607,0.34034117857615154
6650,0.23916391389413358,13,0.19919206024637176,0.35647563139597577
7450,0.2772092061491971,12,0.22201386464515485,0.34890247583389283
8250,0.2117762226381967,10,0.2193307066979203,0.36534489393234254
Average,0.07062793801703642,,,9.781187387307483
Best,0.2772092061491971,12,,
