param,dbcv,n_clusters,noise_ratio,duration
50,0.6321825630304618,1437,0.16268847771515968,0.8848831971486409
250,0.41958410102731414,365,0.269575914750719,0.889596688747406
450,0.3211512439180887,174,0.33850680764051666,0.8963536779085796
650,0.2862248591177791,124,0.3686998154705501,0.90246156056722
850,0.23636973597794117,93,0.39059066048243646,0.9004329800605774
1050,0.24810318567657563,69,0.4012401708975446,0.9004998803138733
1250,0.2762065973282889,57,0.42471697172210865,0.8985859274864196
1450,0.27131137312941933,45,0.45468056456037104,0.8994600653648377
1650,0.2477796914044313,42,0.45210380197163896,0.8903452634811402
1850,0.247481472475188,41,0.4517679916213655,0.8762823025385539
2050,0.22012291326408517,36,0.46602164480574537,0.8791566809018453
2250,0.20550241847630718,33,0.48711784948381626,0.8943297108014424
2450,0.19765682223792969,32,0.4853523515036657,0.9005138595898946
2650,0.18141357367423883,30,0.5018336575066913,0.9015670855840047
2850,0.17054746226323,28,0.519990690406131,0.9004639267921448
3050,0.15952371176559313,26,0.4738982261898825,0.9002871870994568
3250,0.2139603280744602,23,0.4699316742307117,0.9015967925389607
3450,0.20959444771886918,21,0.4919754625704454,0.8957850297292074
3650,0.17555200963823628,17,0.5389656376240587,0.8847065885861715
3850,0.17555200963823628,17,0.5389656376240587,0.8747738242149353
4050,0.09214615155499074,14,0.5587618240154273,0.8825706203778585
4250,0.07871982937555899,13,0.5726364437351421,0.8982117772102356
4450,0.07871982937555899,13,0.5726364437351421,0.9012095729509989
4650,0.06847693113517597,12,0.58804049673333,0.899869712193807
4850,0.06847693113517597,12,0.58804049673333,0.8990275661150614
5050,0.04239422975042863,10,0.6210064335943345,0.8979461153348287
Average,0.21249055469859857,,,23.250917593638103
Best,0.6321825630304618,1437,,
