param,dbcv,n_clusters,noise_ratio,duration
50,0.13000192893816206,350,0.10344288730404136,0.38183722893397015
250,0.09399429525726453,102,0.12597210446694262,0.3813015262285868
450,0.08895584030224081,68,0.1519824447658471,0.39610772927602134
650,0.06812097367250251,47,0.1815470550097252,0.37417319615681965
850,0.1426706976528698,35,0.1756720363074161,0.38351973295211794
1050,0.10351043229756422,28,0.18114142270543448,0.3928927501042684
1250,0.09202452639255125,25,0.19353315711602082,0.3718074361483256
1450,0.07606331649238442,21,0.21130118198593587,0.38733224471410116
1650,0.07606331649238442,21,0.21130118198593587,0.3892567197481791
1850,0.1146233497093805,19,0.20246039266536997,0.37159889539082847
2050,0.13278642981636177,15,0.19081010090934783,0.3923573533693949
2250,0.15091168829633533,13,0.20559573088624009,0.38865107695261636
2450,0.143522387223754,12,0.21341246488121957,0.3654293417930603
2650,0.143522387223754,12,0.21341246488121957,0.3938382109006246
2850,0.143522387223754,12,0.21341246488121957,0.38884324630101524
3050,0.1127568169589927,11,0.18994896347646834,0.3654605746269226
3250,0.09392238636239619,9,0.21090552424650474,0.39448023637135826
3450,0.09392238636239619,9,0.21090552424650474,0.3863783081372579
3650,0.09392238636239619,9,0.21090552424650474,0.3690377354621887
3850,0.09392238636239619,9,0.21090552424650474,0.39572799603144326
4250,0.09392238636239619,9,0.21090552424650474,0.37704536120096843
4650,0.07994555194373884,8,0.19831429853872626,0.37516762018203736
5050,0.07994555194373884,8,0.19831429853872626,0.39495849609375
5450,0.06667791015119053,7,0.21514803916679134,0.3725924571355184
5850,0.04917316916673662,6,0.2339301447974332,0.3842335065205892
6250,0.04917316916673662,6,0.2339301447974332,0.39066166480382286
6650,0.10844670488411698,5,0.25533556098615195,0.36571845213572185
Average,0.1005935097414258,,,10.33040909767151
Best,0.15091168829633533,13,,
