param,dbcv,n_clusters,noise_ratio,duration
50,0.4602941522276053,1418,0.1767925124266454,0.647366996606191
250,0.3718398920384245,349,0.28766977540604793,0.6547894239425659
450,0.27850398340095783,162,0.39130550429737504,0.6544103105862935
650,0.26852341829901016,114,0.4084551061459944,0.6432325124740601
850,0.22696752573984103,85,0.4497830532143035,0.6281176328659057
1050,0.21027257601701987,64,0.4736854354728775,0.6428242524464926
1250,0.20872275221089076,55,0.499778897145612,0.6513383587201437
1450,0.2001035214514494,46,0.5233421441989593,0.6498420755068461
1650,0.2303507507571886,43,0.5182584409755124,0.6408916393915812
1850,0.24003837265118314,40,0.5046198859574751,0.6229000290234884
2050,0.23167626115519918,33,0.5278406729506425,0.6425122618675232
2250,0.22666380811091325,32,0.5264242847405782,0.6479403336842855
2450,0.2294769007587954,29,0.5222648911941217,0.6489805777867635
2650,0.20400853937678937,25,0.5561551377321164,0.6323859612147014
2850,0.2158235223462543,24,0.5650092264724952,0.6249860246976217
3050,0.3126060197548618,22,0.5297424899838744,0.6522536834081014
3250,0.3026436268257463,21,0.5399863680946919,0.6477306604385376
3450,0.3225521399745548,19,0.5310425082705766,0.6505297541618347
3650,0.27448173514727575,14,0.5904942396887936,0.6235950628916422
3850,0.27448173514727575,14,0.5904942396887936,0.6333216547966003
4050,0.26196914834498247,13,0.6034412248765647,0.6516118248303732
4250,0.26196914834498247,13,0.6034412248765647,0.6476985216140747
4450,0.26196914834498247,13,0.6034412248765647,0.6443940202395121
4650,0.26196914834498247,13,0.6034412248765647,0.6231182853380839
5050,0.2457439797714959,12,0.6201319967416421,0.6413844426472982
5450,0.22158916370237702,10,0.655581600252689,0.6486596981684367
Average,0.2617400373171169,,,16.69681599934896
Best,0.4602941522276053,1418,,
