param,dbcv,n_clusters,noise_ratio,duration
50,0.3080502672560511,1410,0.3154655628148222,0.5986014644304911
250,0.2447657170713473,291,0.45067411434176186,0.5926673730214437
450,0.1896457483838305,121,0.5486509401027381,0.5941222747166951
650,0.21638507638895277,73,0.5724303027280435,0.593223226070404
850,0.2057450030278855,56,0.6035875184945056,0.6014126618703206
1050,0.18986871504571864,47,0.6167306701245158,0.5928406318028768
1250,0.1647734540983378,39,0.6393729323558259,0.5845919171969096
1450,0.1443669343271468,31,0.6173723671304839,0.602580988407135
1650,0.12249462193675045,24,0.5357239040446861,0.5735572258631388
1850,0.12407079710373882,23,0.5337622396222965,0.604723580678304
2050,0.11670828403664997,21,0.5338420361411733,0.5746588468551636
2250,0.12414890192656762,19,0.5406546639402856,0.6024171153704325
2450,0.12002561983400935,18,0.548142237294898,0.5986587643623352
2650,0.13858026382340782,15,0.5644207271457783,0.5974641720453898
2850,0.036158335671737714,7,0.381314315163001,0.6034882545471192
Average,0.1630525159954755,,,8.91500849723816
Best,0.3080502672560511,1410,,
