param,dbcv,n_clusters,noise_ratio,duration
50,0.5157657506502248,1256,0.1423968879357638,0.7643101334571838
250,0.3239115169982234,320,0.26884112180606123,0.7541961908340454
450,0.2588637544630865,170,0.3428457433544462,0.7731241385142008
650,0.20186920800965152,106,0.3729589546656027,0.7568209966023763
850,0.17665710855206293,82,0.3843233088956494,0.7461129943529765
1050,0.1679071119767461,66,0.4162452413013482,0.7711888949076334
1250,0.18041162274706915,53,0.4383023290608947,0.7649690985679627
1450,0.20305493887027004,45,0.4489950625903945,0.7458052277565003
1650,0.18845463838035995,38,0.4699283493757585,0.770590051015218
1850,0.20037785080344586,34,0.4783069838578292,0.7669213056564331
2050,0.19679731108342977,33,0.48445796552125414,0.7454108715057373
2250,0.2305425299485877,31,0.4814456469336525,0.7697393933931986
2450,0.2249887540361267,28,0.4951407244858943,0.7692068934440612
2650,0.22485423656780468,27,0.484241849949296,0.7460834701855977
2850,0.2085372351718669,24,0.502026499093977,0.770292607943217
3050,0.2085372351718669,24,0.502026499093977,0.770335030555725
3250,0.17548957137606416,22,0.5100992469203531,0.7470530033111572
3450,0.15974986175691044,20,0.5209715226173258,0.7557970523834229
3650,0.1526315070409767,19,0.532638438648114,0.7713611324628195
3850,0.13885138102297584,17,0.5445946170598308,0.7545102556546529
4050,0.11498068892741128,15,0.570944092563962,0.7511506954828898
4250,0.10542952982485633,14,0.5847655146044254,0.7704249302546183
4450,0.10542952982485633,14,0.5847655146044254,0.7614442388216655
4650,0.15946089705168562,13,0.5801738899140525,0.7451917012532552
4850,0.15946089705168562,13,0.5801738899140525,0.7698410153388977
5050,0.15946089705168562,13,0.5801738899140525,0.7690152923266093
5250,0.13286159185047605,11,0.6145961132445598,0.7420798420906067
5450,0.13286159185047605,11,0.6145961132445598,0.7662033438682556
5650,0.16781214057526975,10,0.6330789819294134,0.7694581588109334
Average,0.1922762375391777,,,22.058637960751852
Best,0.5157657506502248,1256,,
