param,dbcv,n_clusters,noise_ratio,duration
50,0.2498162025946328,1945,0.19992352833607635,3.2132691423098247
250,0.23086496057292033,378,0.3105913254534271,3.2563112656275432
450,0.21073359847782924,178,0.3943843199840407,3.2728893558184304
650,0.21747499883154717,116,0.423722840091101,3.295550163586934
850,0.1909122378115384,82,0.4815320931624358,3.275273787975311
1050,0.16791560116423995,66,0.46896746629428293,3.283483890692393
1250,0.1686313360063837,59,0.5199507921466926,3.289850131670634
1450,0.1396342135512033,47,0.5635163665985071,3.295914900302887
1650,0.09077084606378212,35,0.5433544461622861,3.3088337143262225
1850,0.07928476578259863,31,0.5390321347231227,3.3044126590092975
2050,0.012291731465066989,8,0.1128422522567453,3.309232060114543
Average,0.1598482265747039,,,36.105021071434024
Best,0.2498162025946328,1945,,
