param,dbcv,n_clusters,noise_ratio,duration
50,0.04927996393821067,196,0.13152461223879108,0.4663061896959941
250,0.06067569147618704,35,0.16860671953186043,0.4790023326873779
450,0.05511861111689332,26,0.17771017239372933,0.46889916658401487
650,0.04830373093517655,22,0.18524096886273336,0.46702197392781575
850,0.03828118526223088,18,0.1952720562565458,0.4717043201128642
1050,0.028754644485991833,15,0.20480441540737784,0.46356403827667236
1250,0.013669783620882645,10,0.21989925689491796,0.46471951007843015
Average,0.04201194440508186,,,3.2812175313631693
Best,0.06067569147618704,35,,
