param,dbcv,n_clusters,noise_ratio,duration
50,0.059659633957496405,273,0.0761824015427327,0.725670309861501
250,0.04836626563270168,35,0.1281798081558692,0.7016244769096375
450,0.03700148956354593,21,0.14284906820939935,0.7076269348462423
650,0.030503470115962848,17,0.14994763353448706,0.7084259986877441
850,0.020525124063981885,11,0.16487623227436704,0.7051647742589314
1050,0.013898509809773769,8,0.17435206889099464,0.7062687675158182
Average,0.03499241552391042,,,4.254781262079875
Best,0.059659633957496405,273,,
