param,dbcv,n_clusters,noise_ratio,duration
50,0.3396752094610077,1529,0.28073745282862034,0.5333344181378682
250,0.2498238947618498,295,0.4249563612787392,0.5743664622306823
450,0.31177700737753294,124,0.4555350522833441,0.539563779036204
650,0.30492109301268744,85,0.4205442787558393,0.5375340382258097
850,0.30631396228921115,61,0.466310907186674,0.5546475609143575
1050,0.2036051173087656,50,0.5292038634814556,0.5345365405082703
1250,0.2978411443577054,41,0.4939770252522734,0.545928426583608
1450,0.31272998842086674,31,0.5210513191362027,0.5516425808270772
1650,0.15033142540860397,22,0.33219623293933803,0.536704158782959
1850,0.13347556525709256,20,0.32190248200422256,0.5510393102963765
2050,0.13347556525709253,19,0.3284158728575466,0.5502657532691956
2250,0.16371694244179769,17,0.3336857679583728,0.5304462154706319
2450,0.15052750664941242,14,0.35696972719565107,0.5452568093935649
2650,0.15052750664941242,14,0.35696972719565107,0.5491163810094197
2850,0.142771508446426,13,0.36592688643957905,0.5304141759872436
3050,0.142771508446426,12,0.3758549033298422,0.5441079656283061
3250,0.11467510714439401,10,0.24115837946569582,0.549393606185913
Average,0.21229176780531084,,,9.258298182487488
Best,0.3396752094610077,1529,,
