param,dbcv,n_clusters,noise_ratio,duration
50,0.5063042426965338,1494,0.14341096869649061,0.7990031997362773
250,0.2853548423846403,327,0.29702259238940704,0.7575177629788716
450,0.2279058926215015,148,0.3757717819560122,0.7844982028007508
650,0.20963202259762678,108,0.4036540155935697,0.7824643572171529
850,0.20388669542728546,72,0.4061443319535185,0.7584032257397969
1050,0.1818864473115944,51,0.44323973866640065,0.7830389142036438
1250,0.17546177955246636,42,0.4618123784349908,0.7675189852714539
1450,0.16554788997623116,38,0.474579821455289,0.765768563747406
1650,0.20734553850390833,27,0.4585074726115073,0.7845892985661824
1850,0.19988144734002097,25,0.4697089089488471,0.7616329987843832
2050,0.20717005864682153,23,0.48237660632054924,0.7754146337509156
2250,0.20717005864682153,23,0.48237660632054924,0.7835806250572205
2450,0.20648748371278203,22,0.4901567669110435,0.7590717991193136
2650,0.20648748371278203,22,0.4901567669110435,0.7808197100957235
2850,0.20648748371278203,22,0.4901567669110435,0.7819804747899374
3050,0.19652489527850214,21,0.5001778797399964,0.7579357147216796
3250,0.19666408167564203,20,0.5001778797399964,0.782078218460083
3450,0.18678478427548262,19,0.511409239771915,0.778613022963206
3650,0.18678478427548262,19,0.511409239771915,0.7574750105539958
3850,0.18678478427548262,19,0.511409239771915,0.7819942116737366
4050,0.18678478427548262,19,0.511409239771915,0.7690916379292806
4450,0.17200580335284227,16,0.5533522850065666,0.761708652973175
4850,0.17204073420065302,15,0.47513507223247387,0.7820713440577189
5250,0.2116723319535047,14,0.49159975396073347,0.7634728431701661
5650,0.24101320044932845,13,0.49159975396073347,0.7685414751370748
6050,0.17653567983181218,8,0.41176998653433744,0.7804036657015483
Average,0.21194635502646206,,,20.108688549200693
Best,0.5063042426965338,1494,,
