param,dbcv,n_clusters,noise_ratio,duration
50,0.056067812335902044,384,0.09692949645071734,0.7158330758412679
250,0.04864803134070744,85,0.1584625870696391,0.6939329226811727
450,0.03709325851741467,64,0.1728292853224278,0.7047213474909465
650,0.02503431946700668,50,0.18901135437966518,0.6977648178736369
850,0.04181275125734506,41,0.19739996342659552,0.7085559209187825
1050,0.032185512745207895,34,0.20405299818795405,0.7110319495201111
1250,0.03580692322344768,31,0.20790650507871594,0.7240799307823181
1450,0.063190903234536,27,0.2100975844928765,0.724440888563792
1650,0.05818284090401392,26,0.21513473974697853,0.7247084895769755
1850,0.05818284090401392,26,0.21513473974697853,0.7227916677792867
2050,0.05818284090401392,24,0.21378817349093146,0.714588483174642
2250,0.05818284090401392,22,0.22083686599172112,0.7112386743227641
2450,0.044342847500454106,19,0.22546506408657924,0.7050954778989156
2650,0.005268406826760183,18,0.21960001994912973,0.7030521472295125
2850,0.005268406826760183,18,0.21960001994912973,0.7029645204544067
3050,0.005268406826760183,18,0.21960001994912973,0.7033025662104289
3250,0.005268406826760183,18,0.21960001994912973,0.7036673665046692
3650,0.40920187364125415,16,0.16646218808704472,0.7007837454477946
4050,0.40920187364125415,16,0.16646218808704472,0.7050917267799377
4450,0.40920187364125415,14,0.16329692617159577,0.7090928276379903
4850,0.40920187364125415,14,0.16329692617159577,0.7168905933698019
5250,0.40920187364125415,14,0.16329692617159577,0.7268750111262003
5650,0.40920187364125415,13,0.18128439146842218,0.7336041688919067
6050,0.40920187364125415,10,0.17959536515219524,0.7230124711990357
Average,0.14593335275141237,,,17.087120791276295
Best,0.40920187364125415,16,,
